"Title","UK Vacancies (thousands) - Total"
"2003 MAR","585"
"2003 APR","589"
"2003 MAY","579"
"2003 JUN","574"
"2003 JUL","576"
"2003 AUG","592"
"2003 SEP","604"
"2003 OCT","610"
"2003 NOV","614"
"2003 DEC","613"
"2004 JAN","617"
"2004 FEB","624"
"2004 MAR","630"
"2004 APR","637"
"2004 MAY","641"
"2004 JUN","652"
"2004 JUL","654"
"2004 AUG","654"
"2004 SEP","655"
"2004 OCT","658"
"2004 NOV","662"
"2004 DEC","661"
"2005 JAN","655"
"2005 FEB","644"
"2005 MAR","636"
"2005 APR","642"
"2005 MAY","642"
"2005 JUN","633"
"2005 JUL","624"
"2005 AUG","622"
"2005 SEP","608"
"2005 OCT","606"
"2005 NOV","609"
"2005 DEC","615"
"2006 JAN","612"
"2006 FEB","600"
"2006 MAR","597"
"2006 APR","597"
"2006 MAY","604"
"2006 JUN","607"
"2006 JUL","610"
"2006 AUG","611"
"2006 SEP","618"
"2006 OCT","620"
"2006 NOV","620"
"2006 DEC","619"
"2007 JAN","629"
"2007 FEB","642"
"2007 MAR","647"
"2007 APR","651"
"2007 MAY","659"
"2007 JUN","670"
"2007 JUL","681"
"2007 AUG","684"
"2007 SEP","686"
"2007 OCT","691"
"2007 NOV","687"
"2007 DEC","679"
"2008 JAN","687"
"2008 FEB","698"
"2008 MAR","694"
"2008 APR","679"
"2008 MAY","657"
"2008 JUN","643"
"2008 JUL","624"
"2008 AUG","615"
"2008 SEP","596"
"2008 OCT","562"
"2008 NOV","527"
"2008 DEC","498"
"2009 JAN","478"
"2009 FEB","464"
"2009 MAR","454"
"2009 APR","444"
"2009 MAY","431"
"2009 JUN","429"
"2009 JUL","438"
"2009 AUG","436"
"2009 SEP","432"
"2009 OCT","437"
"2009 NOV","454"
"2009 DEC","464"
"2010 JAN","467"
"2010 FEB","465"
"2010 MAR","467"
"2010 APR","479"
"2010 MAY","484"
"2010 JUN","479"
"2010 JUL","461"
"2010 AUG","455"
"2010 SEP","455"
"2010 OCT","474"
"2010 NOV","483"
"2010 DEC","495"
"2011 JAN","490"
"2011 FEB","483"
"2011 MAR","472"
"2011 APR","461"
"2011 MAY","460"
"2011 JUN","457"
"2011 JUL","462"
"2011 AUG","464"
"2011 SEP","467"
"2011 OCT","462"
"2011 NOV","465"
"2011 DEC","476"
"2012 JAN","473"
"2012 FEB","467"
"2012 MAR","465"
"2012 APR","470"
"2012 MAY","474"
"2012 JUN","479"
"2012 JUL","483"
"2012 AUG","487"
"2012 SEP","490"
"2012 OCT","493"
"2012 NOV","501"
"2012 DEC","503"
"2013 JAN","505"
"2013 FEB","506"
"2013 MAR","515"
"2013 APR","522"
"2013 MAY","533"
"2013 JUN","539"
"2013 JUL","536"
"2013 AUG","547"
"2013 SEP","552"
"2013 OCT","567"
"2013 NOV","573"
"2013 DEC","584"
"2014 JAN","596"
"2014 FEB","616"
"2014 MAR","639"
"2014 APR","653"
"2014 MAY","661"
"2014 JUN","669"
"2014 JUL","681"
"2014 AUG","686"
"2014 SEP","702"
"2014 OCT","702"
"2014 NOV","708"
"2014 DEC","712"
"2015 JAN","722"
"2015 FEB","730"
"2015 MAR","726"
"2015 APR","727"
"2015 MAY","730"
"2015 JUN","741"
"2015 JUL","742"
"2015 AUG","741"
"2015 SEP","741"
"2015 OCT","741"
"2015 NOV","746"
"2015 DEC","750"
"2016 JAN","748"
"2016 FEB","748"
"2016 MAR","742"
"2016 APR","745"
"2016 MAY","746"
"2016 JUN","747"
"2016 JUL","752"
"2016 AUG","753"
"2016 SEP","765"
"2016 OCT","758"
"2016 NOV","755"
"2016 DEC","748"
"2017 JAN","764"
"2017 FEB","771"
"2017 MAR","791"
"2017 APR","786"
"2017 MAY","786"
"2017 JUN","784"
"2017 JUL","793"
"2017 AUG","800"
"2017 SEP","812"
"2017 OCT","819"
"2017 NOV","820"
"2017 DEC","817"
"2018 JAN","814"
"2018 FEB","815"
"2018 MAR","811"
"2018 APR","821"
"2018 MAY","832"
"2018 JUN","837"
"2018 JUL","842"
"2018 AUG","846"
"2018 SEP","864"
"2018 OCT","862"
"2018 NOV","856"
"2018 DEC","855"
"2019 JAN","847"
"2019 FEB","845"
"2019 MAR","840"
"2019 APR","835"
"2019 MAY","822"
"2019 JUN","821"
"2019 JUL","815"
"2019 AUG","818"
"2019 SEP","813"
"2019 OCT","809"
"2019 NOV","811"
"2019 DEC","812"
"2020 JAN","819"
"2020 FEB","795"
"2020 MAR","637"
"2020 APR","471"
"2020 MAY","328"
"2020 JUN","369"
"2020 JUL","428"
"2020 AUG","490"
"2020 SEP","535"
"2020 OCT","560"
"2020 NOV","602"
"2020 DEC","617"
"2021 JAN","621"
"2021 FEB","626"
"2021 MAR","659"
"2021 APR","764"
"2021 MAY","867"
"2021 JUN","968"
"2021 JUL","1052"
"2021 AUG","1125"
"2021 SEP","1198"
"2021 OCT","1223"
"2021 NOV","1243"
"2021 DEC","1250"
"2022 JAN","1267"
"2022 FEB","1276"
"2022 MAR","1291"
"2022 APR","1300"
"2022 MAY","1290"
"2022 JUN","1263"
"2022 JUL","1244"
"2022 AUG","1222"
"2022 SEP","1208"
"2022 OCT","1167"
"2022 NOV","1138"
"2022 DEC","1114"
"2023 JAN","1112"
"2023 FEB","1104"
"2023 MAR","1075"
"2023 APR","1043"
"2023 MAY","1025"
"2023 JUN","1010"
"2023 JUL","988"
"2023 AUG","973"
"2023 SEP","952"
"2023 OCT","948"
"2023 NOV","924"
"2023 DEC","916"
"2024 JAN","904"
"2024 FEB","905"
"2024 MAR","892"
"2024 APR","886"
"2024 MAY","868"
"2024 JUN","859"
"2024 JUL","845"
"2024 AUG","832"
"2024 SEP","823"
"2024 OCT","807"
"2024 NOV","806"
"2024 DEC","804"
"2025 JAN","801"
"2025 FEB","783"
"2025 MAR","761"
